state,abbr,medianAge,ageDependency,medianIncome,belowPoverty,alcoholConsumption,smokers,physicallyActive
Alabama,AL,38.6,62,42830,19.3,40.1,21.1,72.4
Alaska,AK,33.3,53.5,71583,11.2,56.7,19.9,80.8
Arizona,AZ,36.9,66.7,50068,18.2,51.7,16.5,78.8
Arkansas,AR,37.8,65.2,41262,18.9,39.9,24.7,69.4
California,CA,36,57.3,61933,16.4,53.6,12.9,78.3
Colorado,CO,36.3,56.2,61303,12,61.2,15.7,83.6
Connecticut,CT,40.5,58.7,70048,10.8,60.8,15.4,79.4
Delaware,DE,39.6,61.9,59716,12.5,52.9,19.9,75.1
District of Columbia,DC,33.8,40.4,71648,17.7,67.4,16.4,79.2
Florida,FL,41.6,65.1,47463,16.5,54.4,17.7,76.3
Georgia,GA,36.1,58.8,49321,18.3,48.1,17.4,76.4
Hawaii,HI,38.1,60.7,69592,11.4,51,14.1,80.4
Idaho,ID,35.9,68.8,47861,14.8,48.5,15.9,81.3
Illinois,IL,37.5,58.9,57444,14.4,57.2,16.5,76.1
Indiana,IN,37.4,62,49446,15.2,47.9,22.9,73.9
Iowa,IA,38.2,64.3,53712,12.2,58.7,18.5,77.4
Kansas,KS,36.2,64.6,52504,13.6,51.5,18.1,76.2
Kentucky,KY,38.5,60.8,42958,19.1,37.2,26.2,71.8
Louisiana,LA,36.1,60.1,44555,19.8,49.4,24,70.5
Maine,ME,44.1,60.3,49462,14.1,59.2,19.3,80.3
Maryland,MD,38.3,57.1,73971,10.1,53.3,14.6,78.6
Massachusetts,MA,39.4,55.5,69160,11.6,61.9,14.7,79.9
Michigan,MI,39.6,61,49847,16.2,57,21.2,74.5
Minnesota,MN,37.8,60.7,61481,11.5,61.7,16.3,79.8
Mississippi,MS,36.7,63.2,39680,21.5,38.8,23,68.4
Missouri,MO,38.5,62.2,48363,15.5,45.5,20.6,75
Montana,MT,39.6,62.8,46328,15.4,59.6,19.9,80.4
Nebraska,NE,36.2,64.6,52686,12.4,59.2,17.3,78.7
Nevada,NV,37.4,59.9,51450,15.2,50.6,17,77.5
New Hampshire,NH,42.5,56.1,66532,9.2,62.5,17.5,80.7
New Jersey,NJ,39.4,59.2,71919,11.1,56.3,15.1,76.7
New Mexico,NM,37.2,64.6,44803,21.3,47.8,19.2,76.7
New York,NY,38.2,56.4,58878,15.9,54.5,14.4,74.1
North Carolina,NC,38.3,60.6,46556,17.2,46.2,19.1,76.8
North Dakota,ND,35.1,58.3,59029,11.5,61.2,19.9,78.7
Ohio,OH,39.4,61.9,49308,15.8,53.1,21,75.1
Oklahoma,OK,36.2,64,47529,16.6,41.7,21.1,71.7
Oregon,OR,39.3,60.3,51075,16.6,59,17,83.5
Pennsylvania,PA,40.7,60.8,53234,13.6,54.6,19.9,76.7
Rhode Island,RI,39.8,56.2,54891,14.3,63.2,16.3,77.5
South Carolina,SC,38.8,61.8,45238,18,47.3,21.5,74.7
South Dakota,SD,36.6,66.3,50979,14.2,55.6,18.6,78.8
Tennessee,TN,38.6,60.9,44361,18.3,40.5,24.2,73.2
Texas,TX,34.3,61,53035,17.2,48,14.5,72.4
Utah,UT,30.5,68.9,60922,11.7,29.8,9.7,83.2
Vermont,VT,42.8,57.4,54166,12.2,64.3,16.4,81
Virginia,VA,37.7,56.7,64902,11.8,51.7,19.5,76.5
Washington,WA,37.5,58.1,61366,13.2,59.5,15.3,81.9
West Virginia,WV,41.9,62.6,41059,18.3,32.7,26.7,71.3
Wisconsin,WI,39.2,60.7,52622,13.2,63.1,17.4,78.8
Wyoming,WY,36.6,59.6,57055,11.2,51.7,19.5,77.9